station_id,station_name,latitude,longitude,neighborhood
7322,East Liberty St / Western Battery Rd,43.639278,-79.411574,Liberty Village - Queen West
7323,457 King St W,43.645209,-79.396074,Fort York - Entertainment District
7324,King St W / Charlotte St,43.645572,-79.393990,Fort York - Entertainment District
7326,Davenport Rd / Lansdowne Ave,43.671526,-79.448740,Davenport - Dupont
7329,Crawford St / Queen St W,43.645665,-79.415345,Liberty Village - Queen West
7331,Coxwell Ave / Plains Rd,43.695950,-79.328535,Danforth
7332,200 Bloor St E,43.671561,-79.381170,Church Wellesley / Yorkville
7333,King St E / Victoria St,43.649579,-79.376210,Financial District
7334,Simcoe St / Wellington St W (North),43.646460,-79.385577,Financial District
7335,Bay St / Bloor St W (West Side),43.669244,-79.389400,Church Wellesley / Yorkville
7336,Queen St E / Alton Av,43.663912,-79.327987,Leslieville - Woodbine
7337,Gerrard Square Mall (1010 Gerrard St E),43.668553,-79.338673,Leslieville - Woodbine
7338,Logan Ave / Bain Ave,43.672027,-79.347056,Leslieville - Woodbine
7339,Carlaw Ave / Strathcona Ave,43.675319,-79.346279,Danforth
7340,Blake St / Boultbee Ave,43.672453,-79.338259,Leslieville - Woodbine
7341,Eastern Ave / Winnifred Ave,43.659209,-79.334840,Leslieville - Woodbine
7342,Morse St / Eastern Ave,43.657991,-79.340075,Leslieville - Woodbine
7343,Alton Ave / Dundas St E (Greenwood Park),43.667450,-79.329408,Leslieville - Woodbine
7344,Cherry Beach,43.637764,-79.345359,Waterfront
7345,Cherry Beach Sports Fields (55 Unwin Ave),43.640835,-79.342907,Waterfront
7346,Logan Ave / Gerrard St E,43.667214,-79.345270,Leslieville - Woodbine
7347,Regal Rd / Dufferin St,43.673939,-79.441159,Davenport - Dupont
7348,Pape Ave / Gamble Ave,43.690237,-79.350119,Danforth
7349,Gamble Ave / Broadview Ave,43.689211,-79.354380,Danforth
7350,Broadview Ave / Westwood Ave,43.684865,-79.356602,Danforth
7351,Pretoria Ave / Broadview Ave,43.678321,-79.358220,Danforth
7352,Cosburn Ave / Donlands Ave,43.690537,-79.341307,Danforth
7353,Fulton Ave / Pape Ave,43.683950,-79.347046,Danforth
7354,Tommy Thompson Park (Leslie Street Spit),43.652227,-79.322954,Leslieville - Woodbine
7355,Beltline Trail / Chaplin Cres,43.704461,-79.423122,Eglinton Ave W
7356,King St E / Berkeley St,43.651885,-79.364900,Regent Park - Distillery
7357,Lake Shore Blvd E / Leslie St,43.659195,-79.329196,Leslieville - Woodbine
7358,Galbraith Rd / King's College Rd,43.660387,-79.395378,U of T - Hospital Row
7359,Rosedale Park (20 Scholfield Ave),43.682645,-79.377557,Davenport - Dupont
7360,Concord Ave / Dewson St,43.656945,-79.424911,College St - Harbord St
7361,Hocken Ave / Vaughan Rd,43.681735,-79.418472,St Clair Ave W
7362,St. Clair Ave W / Bathurst St,43.683296,-79.418734,St Clair Ave W
7363,Wells Hill Ave / St. Clair Ave W,43.683351,-79.415620,St Clair Ave W
7364,Queen St E / Nursewood Rd,43.673831,-79.281455,Leslieville - Woodbine
7365,Kewbeach Ave / Kenilworth Ave,43.666325,-79.301400,Leslieville - Woodbine
7366,Fort York Blvd / Bathurst St - SMART,43.639052,-79.399792,Fort York - Entertainment District
7367,Alma Ave / Gladstone Ave SMART,43.644862,-79.428220,Liberty Village - Queen West
7368,Lisgar St / Dundas St W - SMART,43.649347,-79.426680,College St - Harbord St
7371,Eglinton Ave W / Henning Ave SMART,43.706347,-79.401610,Mid Town
7373,George St / King St E,43.650955,-79.370700,Regent Park - Distillery
7374,Frederick St / The Esplanade,43.648725,-79.368390,Regent Park - Distillery
7375,Front St E / Scott St,43.647662,-79.375490,Financial District
7376,Frobisher Ave / Lascelles Blvd,43.696708,-79.400450,Mid Town
7377,Balliol St / Yonge St - SMART,43.697870,-79.394190,Mid Town
7378,Yonge St / Davisville Ave,43.697597,-79.396540,Mid Town
7379,Lawton Blvd / Yonge St,43.691067,-79.395350,Mid Town
7380,Erskine Ave / Yonge St SMART,43.711215,-79.398940,Mid Town
7381,Yonge St / Orchard View Blvd,43.708358,-79.398862,Mid Town
7382,Simcoe St / Adelaide St W,43.648130,-79.386320,Downtown
7383,12 Harbour St,43.642564,-79.376200,Waterfront
7384,Cumberland St / Bay St -  SMART,43.670454,-79.390140,Church Wellesley / Yorkville
